ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
268,9,MONCLOA-ARAVACA,"CALL. ARQUITECTO LOPEZ OTERO, 15",,,15,
269,13,PUENTE DE VALLECAS,"AUTOV. M-30, C2 PK 11.300",,,11XL30,
270,14,MORATALAZ,PLAZA. CORREGIDOR SANCHO DE CORDOBA / CALL. ARROYO DE LAS PILILLAS,,,5,
271,15,CIUDAD LINEAL,"CALL. ARTURO SORIA, 99",,,99,
272,1,CENTRO,"CALL. GRAN VIA, 49",,,49,
273,6,TETUÁN,"CALL. VIÑA VIRGEN, 8",,,8,
274,17,VILLAVERDE,CALL. MARICARA / CALL. LOS LLANOS,,,2,
275,4,SALAMANCA,CALL. NARVAEZ / AVDA. FELIPE II,,,4,
276,13,PUENTE DE VALLECAS,"AVDA. ENTREVIAS, 2",,,2,
277,8,FUENCARRAL-EL PARDO,"CALL. SAN MODESTO, 50",,,50,
278,9,MONCLOA-ARAVACA,CALL. OLIVO / CALL. FLORENCIO RODRIGUEZ,,,24,
279,4,SALAMANCA,"CALL. JOSE ORTEGA Y GASSET, 68",,,68,
280,18,VILLA DE VALLECAS,"CTRA. VILLAVERDE A VALLECAS, PK 3.5",,,297,
281,11,CARABANCHEL,CALL. DOLORES ARMENGOT / CALL. BATALLA DE TORRIJOS,,,1,
282,21,BARAJAS,CALL. GOLF / AVDA. CENTRAL,,,13,
283,8,FUENCARRAL-EL PARDO,CALL. CANDIDO MATEOS / CALL. CHANTADA,,,19,
284,2,ARGANZUELA,"CALL. MORATINES, 10",,,10,
285,5,CHAMARTÍN,CALL. MAURICIO LEGENDRE / CALL. MANUEL CALDEIRO,,,45,
286,5,CHAMARTÍN,CALL. FRANCISCO SILVELA / CALL. PRINCIPE DE VERGARA,,,99,
287,5,CHAMARTÍN,"AUTOV. M-30, 31NC80",,,31NC80,
288,7,CHAMBERÍ,ALBERTO AGUILERA,,,60,
289,9,MONCLOA-ARAVACA,"CTRA. TELEFERICO, 1",,,1,
290,2,ARGANZUELA,"CALL. GENERAL LACY, 10",,,10,
291,10,LATINA,CALL. VALMOJADO / CALL. OCAÑA,,,291,
292,20,SAN BLAS-CANILLEJAS,CALL. AQUITANIA / CALL. CAPRI,,,8,
293,13,PUENTE DE VALLECAS,CALL. PUERTO DE BALBARAN / AVDA. BUENOS AIRES,,,1,
294,15,CIUDAD LINEAL,"CALL. AGASTIA, 11A",,,11A,
295,14,MORATALAZ,"CALL. HACIENDA DE PAVONES, 300",,,300,
296,21,BARAJAS,"AVDA. HISPANIDAD, 42",,,42,
297,10,LATINA,PASEO. EXTREMADURA / CALL. LOS YEBENES,,,279,
298,1,CENTRO,CALL. SIERPE / CALL. TOLEDO,,,1,
299,3,RETIRO,"AVDA. CIUDAD DE BARCELONA, 2",,,2,
300,6,TETUÁN,AVDA. ASTURIAS / CALL. VIA LIMITE,,,68,
301,9,MONCLOA-ARAVACA,"CALL. PRINCESA, 83",,,83,
302,16,HORTALEZA,CALLE LIEBRE,,,32,
303,4,SALAMANCA,CALL. JUAN BRAVO / CALL. PRINCIPE DE VERGARA,,,31,
304,17,VILLAVERDE,"CALL. JOSE MARIA LOZANO SAINZ, 11",,,11,
305,11,CARABANCHEL,"CALL. CASTRO DE ORO, 13",,,13,
306,1,CENTRO,"PLAZA. JACINTO BENAVENTE,INTERIOR PARKING",,,1,
307,13,PUENTE DE VALLECAS,AVDA. ALBUFERA / AUTOV. M-40,,,295,
308,4,SALAMANCA,"AUTOV. M-30,CALZADA INTERIOR P.K. 7,000 (BIFURCACIÓN)",,,07CL07,
309,6,TETUÁN,"CALL. CASTILLA, 24",,,24,
310,15,CIUDAD LINEAL,CALL. LOPEZ DE HOYOS / CALL. ARTURO SORIA,,,356,
311,9,MONCLOA-ARAVACA,"CALL. BEATRIZ DE BOBADILLA, 9",,,9,
312,4,SALAMANCA,"CALL. PRINCIPE DE VERGARA, 53",,,53,
313,12,USERA,"CALL. SEGURA, 2",,,2,
314,20,SAN BLAS-CANILLEJAS,CALL. ALCALA / CALL. RUFINO GONZALEZ,,,502,
